stat_id,game_id,player_id,team_id,minutes_played,points,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,is_starter
4223,157,874,29,29.1,12,0,1,6,2,0,0,4,4,9,2,6,2,2,-2,t
4224,157,2141,29,21.2,2,2,2,1,1,0,2,2,1,3,0,1,0,0,-1,f
4225,157,4870,29,22.6,8,2,6,1,0,1,4,4,3,4,0,0,2,2,14,f
4226,157,816,29,24.8,16,0,3,1,0,1,1,0,6,12,4,9,0,0,14,f
4227,157,3509,29,14.7,7,0,5,2,0,0,1,0,3,4,1,2,0,0,-1,f
4228,157,1443,29,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,f
4229,157,3442,29,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,f
4230,157,651,29,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3,f
4231,157,174,29,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,f
4232,158,123,28,36.0,14,1,4,4,1,1,3,0,6,14,0,4,2,3,-17,t
4233,158,233,28,31.9,21,1,6,4,0,0,3,4,7,11,0,0,7,8,-5,t
4234,158,4137,28,29.9,8,1,6,3,2,0,4,4,3,7,0,1,2,2,-3,t
4235,158,4575,28,34.9,14,0,4,0,0,1,2,3,6,12,2,7,0,0,-13,t
4236,158,4642,28,35.5,16,0,3,6,3,1,2,1,5,14,4,9,2,2,-9,t
4237,158,11,28,24.6,3,2,7,3,1,3,1,4,1,4,0,0,1,2,-8,f
4238,158,3264,28,19.2,10,0,0,0,1,0,1,0,4,6,0,1,2,2,-9,f
4239,158,215,28,14.0,2,1,1,0,0,2,1,0,1,4,0,0,0,0,1,f
4240,158,1420,28,5.7,0,0,1,0,0,0,0,1,0,2,0,1,0,0,-9,f
4241,158,446,28,6.8,0,0,2,0,0,0,1,0,0,2,0,2,0,0,-8,f
4242,158,766,28,1.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,f
4243,158,1181,28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4244,158,4424,2,36.5,22,1,10,7,1,0,2,3,8,24,3,7,3,4,18,t
