history_id,player_id,team_id,season_id,start_date,end_date,contract_type
2456,3658,12,5,2025-10-21,,Standard
2457,4226,16,2,2022-10-18,,Standard
2458,4226,3,2,2022-10-18,,Standard
2459,4226,16,3,2023-10-24,,Standard
2460,4226,16,4,2024-10-22,,Standard
2461,4226,16,5,2025-10-21,,Standard
2462,294,17,2,2022-10-18,,Standard
2463,294,17,3,2023-10-24,,Standard
2464,294,17,4,2024-10-22,,Standard
2465,294,13,4,2024-10-22,,Standard
2466,294,20,4,2024-10-22,,Standard
2467,294,23,5,2025-10-21,,Standard
2468,998,19,2,2022-10-18,,Standard
2469,998,19,3,2023-10-24,,Standard
2470,998,1,4,2024-10-22,,Standard
2471,998,1,5,2025-10-21,,Standard
2472,1836,7,2,2022-10-18,,Standard
2473,1836,7,3,2023-10-24,,Standard
2474,1836,7,4,2024-10-22,,Standard
2475,1836,7,5,2025-10-21,,Standard
2476,1836,30,5,2025-10-21,,Standard
2477,1939,25,3,2023-10-24,,Standard
2478,1939,25,4,2024-10-22,,Standard
2479,1939,25,5,2025-10-21,,Standard
2480,4843,23,4,2024-10-22,,Standard
2481,1995,1,1,2021-10-19,,Standard
2482,1995,5,1,2021-10-19,,Standard
2483,1995,5,2,2022-10-18,,Standard
2484,4726,1,4,2024-10-22,,Standard
2485,4726,1,5,2025-10-21,,Standard
2486,114,17,5,2025-10-21,,Standard
2487,4008,21,1,2021-10-19,,Standard
2488,4008,21,2,2022-10-18,,Standard
2489,4008,21,3,2023-10-24,,Standard
2490,4008,6,5,2025-10-21,,Standard
2491,1184,5,3,2023-10-24,,Standard
2492,2770,24,1,2021-10-19,,Standard
2493,2153,9,2,2022-10-18,,Standard
2494,2153,9,3,2023-10-24,,Standard
2495,2153,9,4,2024-10-22,,Standard
2496,2153,9,5,2025-10-21,,Standard
2497,2153,5,5,2025-10-21,,Standard
2498,209,22,2,2022-10-18,,Standard
2499,209,22,3,2023-10-24,,Standard
2500,209,22,4,2024-10-22,,Standard
2501,209,22,5,2025-10-21,,Standard
2502,4269,11,2,2022-10-18,,Standard
2503,4269,11,3,2023-10-24,,Standard
2504,4269,11,4,2024-10-22,,Standard
2505,4269,11,5,2025-10-21,,Standard
2506,2037,21,3,2023-10-24,,Standard
2507,2037,21,4,2024-10-22,,Standard
2508,2037,21,5,2025-10-21,,Standard
2509,2898,12,2,2022-10-18,,Standard
2510,2898,12,3,2023-10-24,,Standard
2511,2898,12,4,2024-10-22,,Standard
2512,2898,12,5,2025-10-21,,Standard
2513,2898,13,5,2025-10-21,,Standard
2514,1042,30,2,2022-10-18,,Standard
2515,1042,30,3,2023-10-24,,Standard
2516,1042,30,4,2024-10-22,,Standard
2517,3249,26,2,2022-10-18,,Standard
2518,3249,26,3,2023-10-24,,Standard
2519,3249,26,4,2024-10-22,,Standard
2520,3249,26,5,2025-10-21,,Standard
2521,1730,1,2,2022-10-18,,Standard
2522,1730,1,3,2023-10-24,,Standard
2523,4108,25,2,2022-10-18,,Standard
2524,4108,25,3,2023-10-24,,Standard
2525,4108,25,4,2024-10-22,,Standard
2526,4108,25,5,2025-10-21,,Standard
2527,4775,11,2,2022-10-18,,Standard
2528,4775,17,3,2023-10-24,,Standard
