history_id,player_id,team_id,season_id,start_date,end_date,contract_type
1445,2241,10,4,2022-10-18,,Standard
1446,2241,6,5,2023-10-24,,Standard
1447,2245,23,2,2020-12-22,,Standard
1448,2245,23,3,2021-10-19,,Standard
1449,2245,21,4,2022-10-18,,Standard
1450,2245,21,5,2023-10-24,,Standard
1451,2249,12,1,2019-10-22,,Standard
1452,2249,3,2,2020-12-22,,Standard
1453,2249,5,3,2021-10-19,,Standard
1454,2249,30,3,2021-10-19,,Standard
1455,2249,19,3,2021-10-19,,Standard
1456,2249,27,4,2022-10-18,,Standard
1457,2256,22,1,2019-10-22,,Standard
1458,2256,22,3,2021-10-19,,Standard
1459,2259,24,1,2019-10-22,,Standard
1460,2259,24,2,2020-12-22,,Standard
1461,2259,24,3,2021-10-19,,Standard
1462,2259,24,4,2022-10-18,,Standard
1463,2259,3,4,2022-10-18,,Standard
1464,2259,3,5,2023-10-24,,Standard
1465,2271,28,3,2021-10-19,,Standard
1466,2287,1,3,2021-10-19,,Standard
1467,2287,1,4,2022-10-18,,Standard
1468,2287,1,5,2023-10-24,,Standard
1469,2288,16,1,2019-10-22,,Standard
1470,2288,18,1,2019-10-22,,Standard
1471,2288,7,2,2020-12-22,,Standard
1472,2288,19,2,2020-12-22,,Standard
1473,2288,3,3,2021-10-19,,Standard
1474,2288,12,4,2022-10-18,,Standard
1475,2288,12,5,2023-10-24,,Standard
1476,2289,2,3,2021-10-19,,Standard
1477,2292,27,1,2019-10-22,,Standard
1478,2292,27,2,2020-12-22,,Standard
1479,2292,27,3,2021-10-19,,Standard
1480,2292,27,4,2022-10-18,,Standard
1481,2292,27,5,2023-10-24,,Standard
1482,2295,13,3,2021-10-19,,Standard
1483,2295,25,3,2021-10-19,,Standard
1484,2295,25,4,2022-10-18,,Standard
1485,2295,3,5,2023-10-24,,Standard
1486,2298,21,5,2023-10-24,,Standard
1487,2315,28,1,2019-10-22,,Standard
1488,2315,28,2,2020-12-22,,Standard
1489,2315,14,3,2021-10-19,,Standard
1490,2315,27,4,2022-10-18,,Standard
1491,2320,24,1,2019-10-22,,Standard
1492,2320,3,1,2019-10-22,,Standard
1493,2320,3,2,2020-12-22,,Standard
1494,2320,23,3,2021-10-19,,Standard
1495,2320,27,3,2021-10-19,,Standard
1496,2327,8,1,2019-10-22,,Standard
1497,2327,8,2,2020-12-22,,Standard
1498,2327,8,3,2021-10-19,,Standard
1499,2327,8,4,2022-10-18,,Standard
1500,2327,8,5,2023-10-24,,Standard
1501,2336,7,3,2021-10-19,,Standard
1502,2336,8,3,2021-10-19,,Standard
1503,2336,5,4,2022-10-18,,Standard
1504,2340,26,5,2023-10-24,,Standard
1505,2343,1,1,2019-10-22,,Standard
1506,2343,24,2,2020-12-22,,Standard
1507,2343,14,2,2020-12-22,,Standard
1508,2343,26,2,2020-12-22,,Standard
1509,2343,26,3,2021-10-19,,Standard
1510,2343,14,4,2022-10-18,,Standard
1511,2343,29,4,2022-10-18,,Standard
1512,2343,6,5,2023-10-24,,Standard
1513,2355,19,3,2021-10-19,,Standard
1514,2355,19,4,2022-10-18,,Standard
1515,2355,19,5,2023-10-24,,Standard
1516,2360,14,3,2021-10-19,,Standard
1517,2365,4,3,2021-10-19,,Standard
1518,2365,4,4,2022-10-18,,Standard
1519,2372,11,2,2020-12-22,,Standard
1520,2372,23,2,2020-12-22,,Standard
1521,2372,14,3,2021-10-19,,Standard
1522,2372,26,5,2023-10-24,,Standard
1523,2384,27,2,2020-12-22,,Standard
1524,2384,27,3,2021-10-19,,Standard
1525,2384,27,4,2022-10-18,,Standard
1526,2384,27,5,2023-10-24,,Standard
1527,2385,15,1,2019-10-22,,Standard
1528,2385,15,2,2020-12-22,,Standard
1529,2385,15,3,2021-10-19,,Standard
1530,2385,15,4,2022-10-18,,Standard
1531,2385,30,5,2023-10-24,,Standard
1532,2393,16,1,2019-10-22,,Standard
1533,2393,25,2,2020-12-22,,Standard
1534,2393,5,3,2021-10-19,,Standard
1535,2393,5,4,2022-10-18,,Standard
1536,2393,7,5,2023-10-24,,Standard
1537,2395,3,1,2019-10-22,,Standard
1538,2395,3,2,2020-12-22,,Standard
1539,2395,14,3,2021-10-19,,Standard
1540,2395,23,3,2021-10-19,,Standard
1541,2395,8,4,2022-10-18,,Standard
1542,2395,8,5,2023-10-24,,Standard
1543,2406,26,1,2019-10-22,,Standard
1544,2406,26,2,2020-12-22,,Standard
1545,2406,9,2,2020-12-22,,Standard
1546,2406,9,3,2021-10-19,,Standard
1547,2406,9,4,2022-10-18,,Standard
1548,2406,10,5,2023-10-24,,Standard
1549,2410,16,4,2022-10-18,,Standard
1550,2410,16,5,2023-10-24,,Standard
1551,2412,29,4,2022-10-18,,Standard
1552,2412,29,5,2023-10-24,,Standard
1553,2413,13,1,2019-10-22,,Standard
1554,2413,13,2,2020-12-22,,Standard
1555,2413,6,2,2020-12-22,,Standard
1556,2413,2,4,2022-10-18,,Standard
1557,2420,24,1,2019-10-22,,Standard
1558,2420,24,2,2020-12-22,,Standard
1559,2420,24,3,2021-10-19,,Standard
1560,2420,1,4,2022-10-18,,Standard
1561,2420,11,4,2022-10-18,,Standard
1562,2439,20,4,2022-10-18,,Standard
1563,2453,9,1,2019-10-22,,Standard
1564,2453,13,2,2020-12-22,,Standard
1565,2453,13,3,2021-10-19,,Standard
1566,2453,13,4,2022-10-18,,Standard
1567,2453,15,4,2022-10-18,,Standard
1568,2453,15,5,2023-10-24,,Standard
1569,2467,29,4,2022-10-18,,Standard
1570,2467,29,5,2023-10-24,,Standard
1571,2469,23,3,2021-10-19,,Standard
1572,2469,9,3,2021-10-19,,Standard
1573,2469,9,4,2022-10-18,,Standard
1574,2469,8,5,2023-10-24,,Standard
1575,2475,4,1,2019-10-22,,Standard
1576,2475,7,1,2019-10-22,,Standard
1577,2491,7,3,2021-10-19,,Standard
1578,2495,9,1,2019-10-22,,Standard
1579,2495,26,2,2020-12-22,,Standard
1580,2495,26,3,2021-10-19,,Standard
1581,2495,23,4,2022-10-18,,Standard
1582,2506,30,3,2021-10-19,,Standard
1583,2506,30,4,2022-10-18,,Standard
1584,2506,30,5,2023-10-24,,Standard
1585,2511,7,1,2019-10-22,,Standard
1586,2511,7,2,2020-12-22,,Standard
1587,2511,7,3,2021-10-19,,Standard
1588,2511,7,4,2022-10-18,,Standard
1589,2511,7,5,2023-10-24,,Standard
1590,2522,6,1,2019-10-22,,Standard
1591,2522,9,1,2019-10-22,,Standard
1592,2522,7,3,2021-10-19,,Standard
1593,2524,1,2,2020-12-22,,Standard
1594,2524,18,3,2021-10-19,,Standard
1595,2524,18,4,2022-10-18,,Standard
1596,2532,20,1,2019-10-22,,Standard
1597,2532,20,2,2020-12-22,,Standard
1598,2532,20,3,2021-10-19,,Standard
1599,2532,1,3,2021-10-19,,Standard
1600,2532,9,4,2022-10-18,,Standard
1601,2532,25,4,2022-10-18,,Standard
1602,2532,9,5,2023-10-24,,Standard
1603,2537,28,4,2022-10-18,,Standard
1604,2541,15,1,2019-10-22,,Standard
1605,2541,15,2,2020-12-22,,Standard
1606,2541,15,3,2021-10-19,,Standard
1607,2541,15,4,2022-10-18,,Standard
1608,2541,15,5,2023-10-24,,Standard
1609,2544,23,1,2019-10-22,,Standard
1610,2544,23,2,2020-12-22,,Standard
1611,2544,23,3,2021-10-19,,Standard
1612,2544,23,4,2022-10-18,,Standard
1613,2544,23,5,2023-10-24,,Standard
1614,2546,5,1,2019-10-22,,Standard
1615,2546,5,2,2020-12-22,,Standard
1616,2546,2,2,2020-12-22,,Standard
1617,2546,6,3,2021-10-19,,Standard
1618,2546,17,3,2021-10-19,,Standard
1619,2546,2,3,2021-10-19,,Standard
1620,2546,2,4,2022-10-18,,Standard
1621,2546,2,5,2023-10-24,,Standard
1622,2548,17,1,2019-10-22,,Standard
1623,2561,21,3,2021-10-19,,Standard
1624,2561,1,4,2022-10-18,,Standard
1625,2561,1,5,2023-10-24,,Standard
1626,2574,4,3,2021-10-19,,Standard
1627,2575,10,3,2021-10-19,,Standard
1628,2575,10,4,2022-10-18,,Standard
1629,2575,10,5,2023-10-24,,Standard
1630,2579,3,1,2019-10-22,,Standard
1631,2579,3,2,2020-12-22,,Standard
1632,2579,11,2,2020-12-22,,Standard
1633,2579,17,2,2020-12-22,,Standard
1634,2582,14,1,2019-10-22,,Standard
1635,2582,14,2,2020-12-22,,Standard
1636,2582,30,3,2021-10-19,,Standard
1637,2582,30,4,2022-10-18,,Standard
1638,2582,30,5,2023-10-24,,Standard
1639,2588,15,4,2022-10-18,,Standard
1640,2588,15,5,2023-10-24,,Standard
1641,2591,5,1,2019-10-22,,Standard
1642,2591,5,2,2020-12-22,,Standard
1643,2591,5,3,2021-10-19,,Standard
1644,2591,5,4,2022-10-18,,Standard
1645,2591,5,5,2023-10-24,,Standard
1646,2592,25,1,2019-10-22,,Standard
1647,2599,11,2,2020-12-22,,Standard
1648,2599,27,3,2021-10-19,,Standard
1649,2599,10,4,2022-10-18,,Standard
1650,2601,12,1,2019-10-22,,Standard
1651,2601,12,2,2020-12-22,,Standard
1652,2601,12,3,2021-10-19,,Standard
1653,2601,26,3,2021-10-19,,Standard
1654,2607,27,3,2021-10-19,,Standard
1655,2607,24,4,2022-10-18,,Standard
1656,2607,11,5,2023-10-24,,Standard
1657,2617,2,1,2019-10-22,,Standard
1658,2617,2,2,2020-12-22,,Standard
1659,2617,2,3,2021-10-19,,Standard
1660,2617,27,3,2021-10-19,,Standard
1661,2617,27,4,2022-10-18,,Standard
1662,2636,22,1,2019-10-22,,Standard
1663,2639,18,4,2022-10-18,,Standard
1664,2639,7,4,2022-10-18,,Standard
1665,2639,7,5,2023-10-24,,Standard
1666,2642,18,1,2019-10-22,,Standard
1667,2642,18,2,2020-12-22,,Standard
1668,2642,18,3,2021-10-19,,Standard
1669,2644,3,1,2019-10-22,,Standard
